iter	MultiClass
0	1.585931285
1	1.562615196
2	1.538905178
3	1.519345585
4	1.499996737
5	1.477538737
6	1.457021466
7	1.438732713
8	1.422841269
9	1.406842446
10	1.387688691
11	1.375809033
12	1.360658641
13	1.344872814
14	1.333284225
15	1.318212763
16	1.304941755
17	1.293991865
18	1.280950215
19	1.26837086
20	1.255442415
21	1.246925142
22	1.237831544
23	1.228689167
24	1.218016607
25	1.208341894
26	1.198626302
27	1.189168949
28	1.179372994
29	1.169022626
30	1.160342246
31	1.148784364
32	1.140524391
33	1.134587041
34	1.124994275
35	1.116747204
36	1.107319633
37	1.099506719
38	1.090952346
39	1.083219417
40	1.07592608
41	1.067028765
42	1.061428693
43	1.052472824
44	1.04372366
45	1.035421543
46	1.028831615
47	1.022561441
48	1.013984846
49	1.007825956
50	1.001390706
51	0.9933314313
52	0.9880593077
53	0.9816171566
54	0.9738061334
55	0.9665439494
56	0.960507815
57	0.9545649794
58	0.9476843235
59	0.9416364628
60	0.9362029102
61	0.9305125876
62	0.9262016538
63	0.9213330114
64	0.9159383513
65	0.9101352248
66	0.9044597112
67	0.8990531428
68	0.8931748901
69	0.8861163709
70	0.8815679364
71	0.8751451481
72	0.8683014346
73	0.8619377332
74	0.8569389752
75	0.8521651912
76	0.8463411362
77	0.8396600373
78	0.8330569168
79	0.8282417469
80	0.8235389393
81	0.8200079436
82	0.8155107501
83	0.8102718549
84	0.8048424168
85	0.8003515109
86	0.7945884144
87	0.7899140033
88	0.7858862438
89	0.7804403572
90	0.7765234653
91	0.771496524
92	0.7669476445
93	0.7617960702
94	0.7568611226
95	0.7537744194
96	0.7494440435
97	0.7445086908
98	0.7403277906
99	0.7362697212
100	0.7321795964
101	0.7282528467
102	0.7244850137
103	0.7196096603
104	0.7151749604
105	0.7107946457
106	0.7071249869
107	0.7024431509
108	0.6972418005
109	0.6917811387
110	0.6862681297
111	0.6825796543
112	0.6777581278
113	0.6733587413
114	0.6704570794
115	0.6674426341
116	0.6624880541
117	0.6581183506
118	0.654695748
119	0.6509852399
120	0.646919436
121	0.6428461726
122	0.638864341
123	0.6361487855
124	0.6332444465
125	0.6312266721
126	0.6269292643
127	0.6237684227
128	0.6201547221
129	0.6165949787
130	0.6130997597
131	0.6095343605
132	0.6065351649
133	0.6019939121
134	0.5991129943
135	0.5962124922
136	0.5940660245
137	0.5919375367
138	0.5886583116
139	0.5863676813
140	0.5824605949
141	0.5793581777
142	0.5757658567
143	0.5728030777
144	0.5700856207
145	0.5679425276
146	0.565716883
147	0.5634216341
148	0.5605788246
149	0.5583062736
150	0.5551026077
151	0.5521803653
152	0.5491394142
153	0.5450568141
154	0.5420292856
155	0.5386908825
156	0.5364047445
157	0.5338972465
158	0.5317042145
159	0.5286116421
160	0.5254498702
161	0.5229987387
162	0.5211408666
163	0.5184901931
164	0.515870042
165	0.512722973
166	0.5096884944
167	0.5067877553
168	0.5054143891
169	0.5028356382
170	0.4999196536
171	0.4973102571
172	0.4953755418
173	0.4922920324
174	0.4893525557
175	0.4865521108
176	0.4838057359
177	0.4816016081
178	0.4795045219
179	0.4776531742
180	0.4750814708
181	0.4732128691
182	0.4707771406
183	0.4684937924
184	0.4656194675
185	0.4637505342
186	0.4619347026
187	0.4594347995
188	0.4564094284
189	0.454226333
190	0.4523763281
191	0.4504129393
192	0.4481592323
193	0.4465397297
194	0.4446439737
195	0.442165119
196	0.4408872127
197	0.4388515191
198	0.4367796375
199	0.4347793304
200	0.4324762339
201	0.4305231003
202	0.4287144118
203	0.4259303236
204	0.4243127949
205	0.4221788291
206	0.421165269
207	0.4193219877
208	0.416948017
209	0.4156840137
210	0.4132402571
211	0.4109712026
212	0.4094638613
213	0.4076832656
214	0.4054522722
215	0.4036713306
216	0.4024323268
217	0.4011329649
218	0.3994744171
219	0.3972090368
220	0.3953567393
221	0.3937473184
222	0.3924633084
223	0.3902369107
224	0.3883184522
225	0.3862783217
226	0.3845652225
227	0.3830427518
228	0.381498791
229	0.3793606639
230	0.3783867618
231	0.3770399588
232	0.3749524728
233	0.3728295905
234	0.3706093836
235	0.3685674172
236	0.3671368993
237	0.3668301484
238	0.3659561152
239	0.3647958019
240	0.3635828212
241	0.362494474
242	0.3609193408
243	0.3596470297
244	0.3586287496
245	0.3571568224
246	0.3557169902
247	0.3550533847
248	0.35369255
249	0.3522747965
250	0.3503564425
251	0.3491723866
252	0.3476661726
253	0.346169007
254	0.344558627
255	0.3429924811
256	0.3411250262
257	0.339643866
258	0.3378147249
259	0.3367967056
260	0.3350610493
261	0.3332999056
262	0.3323520346
263	0.3306152068
264	0.3300772744
265	0.3288348292
266	0.32724567
267	0.3262642795
268	0.3254781592
269	0.323965142
270	0.3231391193
271	0.3215565873
272	0.3196709805
273	0.3182637618
274	0.3173688224
275	0.3160881251
276	0.3144831754
277	0.3132183254
278	0.3125345597
279	0.3114699751
280	0.3107159432
281	0.3092178679
282	0.3079410083
283	0.3068667887
284	0.3054398769
285	0.3041579811
286	0.3030423125
287	0.3016685208
288	0.3005271398
289	0.2995848071
290	0.2984618246
291	0.2978773036
292	0.2966518562
293	0.2954042687
294	0.2940818226
295	0.2931624793
296	0.2920911535
297	0.2908179544
298	0.2897499404
299	0.2884431998
300	0.2871196711
301	0.2857215728
302	0.284486476
303	0.2836717962
304	0.283059001
305	0.2818697504
306	0.2805461304
307	0.2792515735
308	0.278163753
309	0.2771046423
310	0.2755772078
311	0.2747579728
312	0.2736621947
313	0.2728553066
314	0.2716130461
315	0.2704032534
316	0.2692657341
317	0.2682345834
318	0.267025907
319	0.2659637955
320	0.2649729752
321	0.263923309
322	0.2630595904
323	0.2619677655
324	0.2608383348
325	0.2599392565
326	0.258945095
327	0.2581304584
328	0.2571679292
329	0.25617795
330	0.2553968484
331	0.2543993862
332	0.253558545
333	0.2527302957
334	0.2517830094
335	0.2508421442
336	0.2499907419
337	0.2487004896
338	0.2479694813
339	0.2470814969
340	0.2460954366
341	0.2452046483
342	0.2442320178
343	0.2435999067
344	0.2426697635
345	0.2419582523
346	0.2408857742
347	0.2400646516
348	0.2390428314
349	0.238197948
350	0.2373298489
351	0.2363891947
352	0.2354378146
353	0.2344819263
354	0.2338339699
355	0.2333398184
356	0.2329560296
357	0.2321737965
358	0.2313088424
359	0.2306425231
360	0.229898075
361	0.2291974837
362	0.2286721451
363	0.2279966937
364	0.2271270769
365	0.2264785969
366	0.2257514611
367	0.2250869081
368	0.2244150636
369	0.2236267151
370	0.2229040209
371	0.2222208113
372	0.2215201815
373	0.2206801634
374	0.2201379289
375	0.2194907926
376	0.218899281
377	0.218014363
378	0.2172336834
379	0.2165202424
380	0.2160460531
381	0.2154533461
382	0.2148727384
383	0.2142008648
384	0.2133808968
385	0.2126725907
386	0.2119269624
387	0.2113807171
388	0.2108358681
389	0.2102343418
390	0.2096359103
391	0.2088285773
392	0.2081618594
393	0.2073705738
394	0.2064806537
395	0.2058661361
396	0.2053797802
397	0.2046278568
398	0.2041487212
399	0.2033195075
400	0.2026293537
401	0.2019071007
402	0.2011647134
403	0.2005798201
404	0.1999544713
405	0.199195371
406	0.1987289132
407	0.1981819738
408	0.1975528705
409	0.1970490854
410	0.1963612526
411	0.1958858134
412	0.1951376539
413	0.1945436684
414	0.1936913171
415	0.1928848213
416	0.1920988272
417	0.19159057
418	0.191101458
419	0.1906583314
420	0.1901331741
421	0.1895267005
422	0.1889499994
423	0.1883195718
424	0.187707799
425	0.1872795751
426	0.1867168632
427	0.1862337129
428	0.1855851255
429	0.1849876677
430	0.184327369
431	0.1839378747
432	0.1835601847
433	0.1833103826
434	0.1829390116
435	0.1825796955
436	0.1820383724
437	0.1814379247
438	0.1810097498
439	0.1805637945
440	0.1800056988
441	0.1794586921
442	0.1789942854
443	0.1782837109
444	0.1778792349
445	0.1774814224
446	0.1771809482
447	0.176653081
448	0.1760888969
449	0.1758466622
450	0.1752868249
451	0.1748367007
452	0.174476107
453	0.1740228149
454	0.1735901466
455	0.1729188867
456	0.1724426311
457	0.171838855
458	0.1712023183
459	0.1708625838
460	0.1704803698
461	0.1701550362
462	0.1698411468
463	0.1694646692
464	0.1688663837
465	0.1683319139
466	0.1679396858
467	0.1673023052
468	0.1667420494
469	0.1662205754
470	0.1657442025
471	0.165466511
472	0.164897343
473	0.1643715964
474	0.1639707771
475	0.1634915477
476	0.1632155265
477	0.1627805162
478	0.1624221666
479	0.1619275193
